Name,Title,Department
Stina Soewarta,Cabinet member,"('Margrethe Vestager',)"
Luke  Haasbeek,Cabinet member,"('Virginijus Sinkevičius',)"
Clara De-La-Torre,Acting Director-General,"('Wopke Hoekstra',)"
Marion Finke,Cabinet member,"('Dubravka Šuica',)"
Maximilian Strotmann,Cabinet member,"('Johannes Hahn',)"
Gabriela Keckesova,Cabinet member,"('Maroš Šefčovič',)"
Simona Constantin,Cabinet member,"('Helena Dalli', 'Věra Jourová')"
Silvan Agius,Cabinet member,"('Helena Dalli', 'Věra Jourová')"
Lesia Radelicki,Cabinet member,"('Helena Dalli', 'Věra Jourová')"
Suvi Leinonen,Cabinet member,"('Kadri Simson', 'Jutta Urpilainen')"
Thor-Sten Vertmann,Cabinet member,"('Kadri Simson', 'Jutta Urpilainen')"
Tommy De Temmerman,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Andrea Beltramello,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Valeria Miceli,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Bjoern Seibert,Cabinet member,"('Ursula von der Leyen', 'Kadri Simson')"
Ditte Juul Jørgensen,Director-General,"('Ursula von der Leyen', 'Kadri Simson')"
Tomas Baert,Cabinet member,"('Ursula von der Leyen',)"
Signe Ratso,Acting Director-General,"('Iliana Ivanova',)"
Patricia Reilly,Cabinet member,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Agnieszka Skonieczna,Cabinet member,"('Thierry Breton', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Florian Denis,Cabinet member,"('Thierry Breton', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Andrea Beltramello,Cabinet member,"('Thierry Breton', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Pierre-Arnaud Proux,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Cristina Rueda Catry,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Mirzha De Manuel,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Caroline Boeshertz,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Fabrice Comptour,Cabinet member,"('Ursula von der Leyen', 'Thierry Breton')"
Ursula von der Leyen,President,"('Ursula von der Leyen', 'Thierry Breton')"
Peter van Kemseke,Cabinet member,"('Ursula von der Leyen',)"
Dimitri Lorenzani,Cabinet member,"('Maroš Šefčovič', 'Thierry Breton')"
Adam Romanowski,Cabinet member,"('Maroš Šefčovič', 'Thierry Breton')"
Joan Canton,Cabinet member,"('Maroš Šefčovič', 'Thierry Breton')"
Elena Montani,Cabinet member,"('Frans Timmermans', 'Thierry Breton', 'Virginijus Sinkevičius')"
Zuzana Dorazilova,Cabinet member,"('Věra Jourová',)"
Ildikó Voller-Szenci,Cabinet member,"('Olivér Várhelyi',)"
Camilo Villarino,Cabinet member,"('Josep Borrell Fontelles',)"
Ludovic Pierre,Cabinet member,"('Didier Reynders',)"
Pim Lescrauwaet,Cabinet member,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Marco Buti,Cabinet member,"('Paolo Gentiloni',)"
Simon Genevaz,Cabinet member,"('Margrethe Vestager',)"
Kurt Vandenberghe,Cabinet member,"('Wopke Hoekstra', 'Ursula von der Leyen')"
Peter van Kemseke,Cabinet member,"('Wopke Hoekstra', 'Ursula von der Leyen')"
Martina Lodrant,Cabinet member,"('Wopke Hoekstra', 'Ursula von der Leyen')"
Kurt Vandenberghe,Director-General,"('Wopke Hoekstra', 'Ursula von der Leyen')"
Thomas Woolfson,Cabinet member,"('Margrethe Vestager',)"
Eleonora Ocello,Cabinet member,"('Thierry Breton',)"
Agnieszka Drzewoska,Cabinet member,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Kurt Vandenberghe,Director-General,"('Wopke Hoekstra',)"
Diederik Samsom,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Tatiana Marquez Uriarte,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Stefano Grassi,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Paolo Gentiloni,Commissioner,"('Paolo Gentiloni', 'Johannes Hahn')"
Hanna Jahns,Cabinet member,"('Paolo Gentiloni', 'Johannes Hahn')"
Johannes Hahn,Commissioner,"('Paolo Gentiloni', 'Johannes Hahn')"
Peter Wagner,Director,"('Josep Borrell Fontelles',)"
Simon Genevaz,Cabinet member,"('Margrethe Vestager', 'Adina Vălean')"
Filip Alexandru Negreanu Arboreanu,Cabinet member,"('Margrethe Vestager', 'Adina Vălean')"
Colin Scicluna ,Cabinet member,"('Dubravka Šuica',)"
Lukas Visek,Cabinet member,"('Frans Timmermans', 'Janusz Wojciechowski')"
Joanna Stawowy,Cabinet member,"('Frans Timmermans', 'Janusz Wojciechowski')"
Riccardo Maggi,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Aleksandra Tomczak,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Thor-Sten Vertmann,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Sabine Weyand,Director-General,"('Elisa Ferreira', 'Valdis Dombrovskis')"
Mario Nava,Director-General,"('Elisa Ferreira', 'Valdis Dombrovskis')"
Agnieszka Drzewoska,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Florian Denis,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis', 'Mairead Mcguinness')"
Andrea Beltramello,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis')"
Valeria Miceli,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis')"
Anna-Kaisa Itkonen,Cabinet member,"('Kadri Simson',)"
Justyna Petsch,Cabinet member,"('Olivér Várhelyi',)"
Isidro LASO BALLESTEROS,Cabinet member,"('Mariya Gabriel',)"
Christiane Canenbley,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Gert-Jan Koopman,Director-General,"('Olivér Várhelyi',)"
Daphne von Buxhoeveden,Cabinet member,"('Stella Kyriakides', 'Margaritis Schinas')"
Maria Luisa Llano Cardenal,Cabinet member,"('Stella Kyriakides', 'Margaritis Schinas')"
Marc Lemaître,Director-General,"('Iliana Ivanova',)"
Martina Krobath,Cabinet member,"('Johannes Hahn',)"
Jens Alexander Flosdorff,Cabinet member,"('Ursula von der Leyen',)"
Werner Stengg,Cabinet member,"('Nicolas Schmit', 'Margrethe Vestager')"
Mette Dyrskjot,Cabinet member,"('Nicolas Schmit', 'Margrethe Vestager')"
Ana Carla  Pereira,Cabinet member,"('Nicolas Schmit', 'Margrethe Vestager')"
Antoine Kasel,Cabinet member,"('Nicolas Schmit', 'Margrethe Vestager')"
Ivana McDowell,Cabinet member,"('Nicolas Schmit', 'Margrethe Vestager')"
Frans Timmermans,Executive Vice-President,"('Frans Timmermans', 'Thierry Breton')"
Thierry Breton,Commissioner,"('Frans Timmermans', 'Thierry Breton')"
Olivér Várhelyi,Commissioner,"('Olivér Várhelyi', 'Jutta Urpilainen')"
Koen Doens,Director-General,"('Olivér Várhelyi', 'Jutta Urpilainen')"
Maroš Šefčovič,Executive Vice-President,"('Maroš Šefčovič', 'Elisa Ferreira')"
Adam Romanowski,Cabinet member,"('Maroš Šefčovič', 'Elisa Ferreira')"
Mario Nava,Director-General,"('Maroš Šefčovič', 'Elisa Ferreira')"
Liliane Giardino-Karlinger,Cabinet member,"('Margrethe Vestager',)"
David Marechal,Cabinet member,"('Didier Reynders',)"
Eleonora Ocello,Cabinet member,"('Thierry Breton', 'Věra Jourová')"
Marie Frenay,Cabinet member,"('Thierry Breton', 'Věra Jourová')"
Elina Melngaile,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Liviu Stirbat,Cabinet member,"('Margrethe Vestager',)"
Jaan Mannik,Cabinet member,"('Kadri Simson',)"
Andrea Beltramello,Cabinet member,"('Frans Timmermans', 'Thierry Breton', 'Valdis Dombrovskis')"
Joan Canton,Cabinet member,"('Frans Timmermans', 'Thierry Breton', 'Valdis Dombrovskis')"
Helena Braun,Cabinet member,"('Frans Timmermans', 'Thierry Breton', 'Valdis Dombrovskis')"
Alice Brokelind,Cabinet member,"('Ylva Johansson',)"
Stéphanie Riso,Director-General,"('Johannes Hahn',)"
Ruud Kempener,Cabinet member,"('Ursula von der Leyen', 'Kadri Simson')"
Peter van Kemseke,Cabinet member,"('Ursula von der Leyen', 'Kadri Simson')"
Philip Holzapfel,Cabinet member,"('Josep Borrell Fontelles',)"
Fabrizio Balassone,Cabinet member,"('Paolo Gentiloni',)"
Margrethe Vestager,Executive Vice-President,"('Margrethe Vestager', 'Věra Jourová')"
Werner Stengg,Cabinet member,"('Margrethe Vestager', 'Věra Jourová')"
Věra Jourová,Vice-President,"('Margrethe Vestager', 'Věra Jourová')"
Lucie Rousselle,Cabinet member,"('Didier Reynders',)"
Marco La Marca,Cabinet member,"('Dubravka Šuica',)"
Giedrius Alasevicius,Cabinet member,"('Virginijus Sinkevičius',)"
Riikka Torppa,Cabinet member,"('Elisa Ferreira',)"
Magdalena Kopczynska,Director-General,"('Adina Vălean',)"
Veronika Musilova,Cabinet member,"('Věra Jourová',)"
Werner Stengg,Cabinet member,"('Věra Jourová',)"
Helena Braun,Cabinet member,"('Maroš Šefčovič',)"
Lukas Visek,Cabinet member,"('Maroš Šefčovič',)"
Olivier Guersent,Director-General,"('Thierry Breton', 'Margrethe Vestager')"
Michele Piergiovanni,Cabinet member,"('Didier Reynders',)"
Eva Hrncirova,Cabinet member,"('Věra Jourová',)"
Thomas Woolfson,Cabinet member,"('Didier Reynders',)"
David Kerr,Cabinet member,"('Helena Dalli',)"
Pia Ahrenkilde Hansen,Director-General,"('Iliana Ivanova',)"
Olaf Deussen,Cabinet member,"('Janez Lenarčič',)"
Erik Burckhardt,Cabinet member,"('Paolo Gentiloni',)"
Liliane Giardino-Karlinger,Cabinet member,"('Didier Reynders',)"
Isidro LASO BALLESTEROS,Cabinet member,"('Adina Vălean',)"
Dino Toljan,Cabinet member,"('Maroš Šefčovič',)"
Daniel Mes,Cabinet member,"('Wopke Hoekstra',)"
Agnieszka Drzewoska,Cabinet member,"('Thierry Breton', 'Mairead Mcguinness')"
Mairead McGuinness,Commissioner,"('Thierry Breton', 'Mairead Mcguinness')"
Roberto Viola,Director-General,"('Thierry Breton', 'Mairead Mcguinness')"
Virginie Battu-Henriksson,Cabinet member,"('Maroš Šefčovič',)"
Aleksandra Baranska,Cabinet member,"('Maroš Šefčovič',)"
Alejandro Cainzos,Cabinet member,"('Věra Jourová',)"
Iliana Ivanova,Commissioner,"('Iliana Ivanova',)"
Miriam Garcia Ferrer,Cabinet member,"('Valdis Dombrovskis',)"
Christiane Canenbley,Cabinet member,"('Věra Jourová',)"
Rozalina Petrova,Cabinet member,"('Maroš Šefčovič', 'Virginijus Sinkevičius')"
Helena Braun,Cabinet member,"('Maroš Šefčovič', 'Virginijus Sinkevičius')"
Markus Schulte,Cabinet member,"('Iliana Ivanova',)"
Jan Hendrik Dopheide,Cabinet member,"('Maroš Šefčovič',)"
Wopke Hoekstra,Commissioner,"('Wopke Hoekstra',)"
Alice Brokelind,Cabinet member,"('Ylva Johansson', 'Nicolas Schmit')"
Christoph Nerlich,Cabinet member,"('Ylva Johansson', 'Nicolas Schmit')"
Nicolo Brignoli,Cabinet member,"('Valdis Dombrovskis',)"
John Berrigan,Director-General,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Diederik Samsom,Cabinet member,"('Wopke Hoekstra',)"
Sofie Robbertsen,Cabinet member,"('Johannes Hahn',)"
Juraj Nociar,Cabinet member,"('Maroš Šefčovič', 'Kadri Simson')"
Aleksandra Baranska,Cabinet member,"('Maroš Šefčovič', 'Kadri Simson')"
Peeter Kadarik,Cabinet member,"('Maroš Šefčovič', 'Kadri Simson')"
Ruud Kempener,Cabinet member,"('Maroš Šefčovič', 'Kadri Simson')"
Sonya Gospodinova,Cabinet member,"('Iliana Ivanova',)"
Ruth Reichstein,Cabinet member,"('Ursula von der Leyen',)"
Emil Dimitrov,Cabinet member,"('Iliana Ivanova',)"
Dana Spinant,Acting Director-General,"('Ursula von der Leyen',)"
Elena Montani,Cabinet member,"('Maroš Šefčovič', 'Virginijus Sinkevičius')"
Olivia Gippner,Cabinet member,"('Wopke Hoekstra',)"
Alejandro Cainzos,Cabinet member,"('Margaritis Schinas', 'Věra Jourová')"
Despina Spanou,Cabinet member,"('Margaritis Schinas', 'Věra Jourová')"
Chris Uregian,Cabinet member,"('Margaritis Schinas', 'Věra Jourová')"
Themis Christophidou,Director-General,"('Elisa Ferreira',)"
Laszlo Andrejko,Cabinet member,"('Olivér Várhelyi',)"
Akvile Normantiene,Cabinet member,"('Iliana Ivanova',)"
Simon O'Connor,Cabinet member,"('Paolo Gentiloni',)"
Joan Canton,Cabinet member,"('Nicolas Schmit', 'Thierry Breton')"
Anouk Faber,Cabinet member,"('Nicolas Schmit', 'Thierry Breton')"
Christoph Nerlich,Cabinet member,"('Nicolas Schmit', 'Thierry Breton')"
Héloïse Pillard,Cabinet member,"('Didier Reynders',)"
Nelly Bruno,Cabinet member,"('Iliana Ivanova',)"
Paolo Gentiloni,Commissioner,"('Paolo Gentiloni', 'Maroš Šefčovič')"
Aleksandra Baranska,Cabinet member,"('Paolo Gentiloni', 'Maroš Šefčovič')"
Dino Toljan,Cabinet member,"('Paolo Gentiloni', 'Maroš Šefčovič')"
Astrid Dentler,Cabinet member,"('Wopke Hoekstra',)"
Radek Honzak,Cabinet member,"('Iliana Ivanova',)"
Lukas Visek,Cabinet member,"('Maroš Šefčovič', 'Virginijus Sinkevičius')"
Jonas Sebhatu,Cabinet member,"('Paolo Gentiloni',)"
Koen Doens,Director-General,"('Wopke Hoekstra', 'Jutta Urpilainen')"
Kurt Vandenberghe,Director-General,"('Wopke Hoekstra', 'Jutta Urpilainen')"
Sid-Ahmed Kamil Talbi,Cabinet member,"('Maroš Šefčovič',)"
Kamil Piotr Ochmanski,Cabinet member,"('Janusz Wojciechowski',)"
Siobhan Millbright,Cabinet member,"('Nicolas Schmit',)"
Héloïse Pillard,Cabinet member,"('Margrethe Vestager',)"
Christos Ellinides,Director-General,"('Johannes Hahn',)"
Andreea Ticheru,Cabinet member,"('Margrethe Vestager',)"
Dana Spinant,Director-General,"('Ursula von der Leyen',)"
Janez Lenarčič,Commissioner,"('Josep Borrell Fontelles', 'Janez Lenarčič')"
Kim-Tobias Eling,Cabinet member,"('Josep Borrell Fontelles', 'Janez Lenarčič')"
Francisco Fontan Pardo,Cabinet member,"('Josep Borrell Fontelles', 'Janez Lenarčič')"
Wojtek Talko,Cabinet member,"('Nicolas Schmit', 'Věra Jourová')"
Věra Jourová,Vice-President,"('Nicolas Schmit', 'Věra Jourová')"
Anouk Faber,Cabinet member,"('Nicolas Schmit', 'Věra Jourová')"
Nicolas Schmit,Commissioner,"('Nicolas Schmit', 'Věra Jourová')"
Sophie Alexandrova,Cabinet member,"('Iliana Ivanova',)"
Taru Haapaniemi,Cabinet member,"('Janusz Wojciechowski',)"
Esther De Lange,Cabinet member,"('Wopke Hoekstra',)"
Alexane Barrouillet,Cabinet member,"('Johannes Hahn',)"
Maciej Popowski,Director-General,"('Janez Lenarčič',)"
Viktorija Jeras,Cabinet member,"('Janez Lenarčič',)"
Francisco Fontan Pardo,Cabinet member,"('Josep Borrell Fontelles',)"
Jutta Urpilainen,Commissioner,"('Olivér Várhelyi', 'Jutta Urpilainen')"
Katri Teedumae,Cabinet member,"('Olivér Várhelyi', 'Jutta Urpilainen')"
Ramona Ianus,Cabinet member,"('Margrethe Vestager',)"
Beate Gminder,Acting Director-General,"('Ylva Johansson',)"
Maria Jans,Cabinet member,"('Wopke Hoekstra',)"
Sabine Weyand,Director-General,"('Thierry Breton', 'Valdis Dombrovskis')"
Kerstin Jorna,Director-General,"('Thierry Breton', 'Valdis Dombrovskis')"
Andriana Sukova,Acting Director-General,"('Nicolas Schmit',)"
Marina Brakalova,Cabinet member,"('Maroš Šefčovič',)"
Carlota Reyners Fontana,Cabinet member,"('Ursula von der Leyen',)"
Paraskevi Papantoniou,Cabinet member,"('Margaritis Schinas',)"
Suvi Leinonen,Cabinet member,"('Maroš Šefčovič', 'Jutta Urpilainen')"
Helena Braun,Cabinet member,"('Maroš Šefčovič', 'Jutta Urpilainen')"
Ramona Ianus,Cabinet member,"('Margrethe Vestager', 'Adina Vălean')"
Elzbieta Lukaniuk,Cabinet member,"('Margrethe Vestager', 'Adina Vălean')"
Bernard Magenhann,Acting Director-General,"('Iliana Ivanova',)"
Bruno Gencarelli,Cabinet member,"('Didier Reynders',)"
Francisco De Borja Lasheras Tina,Cabinet member,"('Josep Borrell Fontelles',)"
Alvaro De Elera,Cabinet member,"('Johannes Hahn', 'Věra Jourová')"
Johannes Noack,Cabinet member,"('Johannes Hahn', 'Věra Jourová')"
Alvaro De Elera,Cabinet member,"('Nicolas Schmit', 'Věra Jourová')"
Antoine Kasel,Cabinet member,"('Nicolas Schmit', 'Věra Jourová')"
Christoph Nerlich,Cabinet member,"('Nicolas Schmit', 'Věra Jourová')"
Diana-Ioana Vlad-Calcic,Cabinet member,"('Věra Jourová',)"
Hanna Zinner,Cabinet member,"('Margrethe Vestager',)"
Judit Rozsa,Acting Director-General,"('Elisa Ferreira',)"
Martina Lodrant,Cabinet member,"('Jutta Urpilainen',)"
Gelu Calacean,Cabinet member,"('Ursula von der Leyen',)"
Pablo Fabregas Martinez,Cabinet member,"('Wopke Hoekstra',)"
Magdalena Kopczynska,Director-General,"('Wopke Hoekstra', 'Adina Vălean')"
Kurt Vandenberghe,Director-General,"('Wopke Hoekstra', 'Adina Vălean')"
Miguel Jose Garcia Jones,Cabinet member,"('Wopke Hoekstra',)"
Pierre Fermigier,Cabinet member,"('Josep Borrell Fontelles',)"
Matti Niemi,Cabinet member,"('Jutta Urpilainen',)"
Carmen Preising,Cabinet member,"('Maroš Šefčovič',)"
Antoine Bégasse De Dhaem,Cabinet member,"('Mairead Mcguinness',)"
Eglantine Cujo,Cabinet member,"('Maroš Šefčovič',)"
Lucie Rousselle,Cabinet member,"('Valdis Dombrovskis', 'Didier Reynders')"
Sabine Weyand,Director-General,"('Valdis Dombrovskis', 'Didier Reynders')"
Miriam Garcia Ferrer,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis')"
Peter van Kemseke,Cabinet member,"('Ursula von der Leyen', 'Valdis Dombrovskis')"
Inês Melo Sampaio,Cabinet member,"('Elisa Ferreira',)"
Laurent Muschel,Acting Director-General,"('Stella Kyriakides',)"
Kurt Vandenberghe,Director-General,"('Wopke Hoekstra', 'Thierry Breton')"
Kerstin Jorna,Director-General,"('Wopke Hoekstra', 'Thierry Breton')"
Bernd Biervert,Cabinet member,"('Maroš Šefčovič',)"
